ZIP,Place,State,Longitude,Latitude,Longitude_Projected,Latitude_Projected
80550,Windsor,CO,-104.8994,40.4837,363.53744082807555,210.542986112854
80551,Windsor,CO,-104.9014,40.4775,363.49848033260054,210.65664428011735
80553,Fort Collins,CO,-105.0844,40.5853,361.12690321630635,208.39166827923225
80601,Brighton,CO,-104.7866,39.943,364.17826382266446,220.83548417483564
80602,Brighton,CO,-104.9072,39.9636,362.51099387566177,220.28991476511533
80603,Brighton,CO,-104.7746,39.9515,364.362555972719,220.69167665492432
80610,Ault,CO,-104.7356,40.5938,366.0242358240785,208.69130079490685
80611,Briggsdale,CO,-104.2871,40.6392,372.3786501787853,208.40323591197966
80612,Carr,CO,-104.8859,40.8666,364.4000133713366,203.3799081073223
80614,Eastlake,CO,-104.9614,39.9239,361.6752063126726,220.96264528429515
80615,Eaton,CO,-104.7146,40.5273,366.2035177289504,209.9658289199316
80620,Evans,CO,-104.6971,40.3803,366.1956717686793,212.74619564378384
80621,Fort Lupton,CO,-104.8013,40.108,364.2581394638221,217.72001333723074
80622,Galeton,CO,-104.4585,40.5378,369.8101438695709,210.0939394707816
80623,Gilcrest,CO,-104.7825,40.2854,364.83156414992095,214.41604354769322
80624,Gill,CO,-104.5,40.4696,369.11382880066446,211.32159479361314
80631,Greeley,CO,-104.6806,40.385,366.4354392296725,212.67925363254687
80632,Greeley,CO,-104.7629,40.3766,365.26533457288724,212.73050662486537
80633,Greeley,CO,-104.7091,40.4233,366.1013028915333,211.9239827564893
80634,Greeley,CO,-104.7541,40.4109,365.4483389898147,212.09843395119583
80638,Greeley,CO,-104.7091,40.4233,366.1013028915333,211.9239827564893
80639,Greeley,CO,-104.7017,40.3993,366.16380805581,212.38379442808025
80640,Henderson,CO,-104.8718,39.8983,362.89617917156966,221.56214361239017
80642,Hudson,CO,-104.6532,40.0606,366.26441321326143,218.8017814641605
80643,Keenesburg,CO,-104.4464,40.0958,369.240587448877,218.40419807868602
80644,Kersey,CO,-104.5288,40.3963,368.5861069670326,212.66072220587444
80645,La Salle,CO,-104.7268,40.3211,365.67636630120626,213.8185619123568
80646,Lucerne,CO,-104.7054,40.4824,366.25506574675194,210.8199956937941
80648,Nunn,CO,-104.785,40.7265,365.5634076589166,206.13846395925123
80649,Orchard,CO,-104.0973,40.3639,374.59401527565956,213.80033373538618
80650,Pierce,CO,-104.7638,40.6359,365.70248790212815,207.86518183353428
80651,Platteville,CO,-104.8028,40.2131,364.420166280604,215.74604907610262
80652,Roggen,CO,-104.282,40.0878,371.54589845904064,218.7589434293974
80653,Weldona,CO,-103.9678,40.3681,376.4205922173768,213.87565887344033
80654,Wiggins,CO,-104.0468,40.1598,374.97849220090984,217.69272314893863
80701,Fort Morgan,CO,-103.8031,40.2541,378.55924622316513,216.2088785835898
80705,Log Lane Village,CO,-103.8338,40.2707,378.1528027212601,215.8615220724197
80720,Akron,CO,-103.2259,40.1803,386.5815419201259,218.2394474368275
80721,Amherst,CO,-102.1706,40.6824,402.08051985393735,209.8506357529858
80722,Atwood,CO,-103.2749,40.5082,386.3631002620576,212.02668197495962
80723,Brush,CO,-103.6279,40.2603,381.0352988080969,216.29311401954737
80726,Crook,CO,-102.8472,40.8747,392.8634473384587,205.58809886034078
80727,Eckley,CO,-102.4828,40.1138,396.9765354454303,220.24680047165873
80728,Fleming,CO,-102.8688,40.637,392.23850184955296,210.0316239537109
80729,Grover,CO,-104.2346,40.8716,373.49222889618414,204.10648799517492
80731,Haxtun,CO,-102.6052,40.6406,395.9374586562468,210.22627531156365
80732,Hereford,CO,-104.3053,40.9751,372.6760373090812,202.07879903566527
80733,Hillrose,CO,-103.5057,40.3459,382.88308940267797,214.8225459104118
80734,Holyoke,CO,-102.2825,40.5825,400.3884165615574,211.62546668991433
80735,Idalia,CO,-102.4262,39.8167,397.3974880268652,225.8876135147408
80736,Iliff,CO,-103.0968,40.7692,389.22952908402607,207.31335147323819
80737,Julesburg,CO,-102.2575,40.9708,401.2203212076348,204.3511049651388
80740,Lindon,CO,-103.4142,39.7909,383.3548986709719,225.35092029782402
80741,Merino,CO,-103.4719,40.5708,383.6911988486319,210.63614519532507
80742,New Raymer,CO,-103.839,40.6851,378.7227893606797,208.07503178778234
80743,Otis,CO,-102.9392,40.203,390.65554841427,218.11466549622082
80744,Ovid,CO,-102.3874,40.9459,399.3763630718952,204.69819521804834
80745,Padroni,CO,-103.3728,40.8842,385.5380448779321,204.85966653208038
80746,Paoli,CO,-102.4722,40.6106,397.76312541559963,210.91852199648542
80747,Peetz,CO,-103.1166,40.9519,389.2100308425356,203.86147755492357
80749,Sedgwick,CO,-102.5291,40.9103,397.3527249019862,205.23243492253255
80750,Snyder,CO,-103.5971,40.3307,381.5748564878109,215.00568013768816
80751,Sterling,CO,-103.2212,40.6306,387.291770515208,209.78516719813126
80754,Stoneham,CO,-103.6387,40.687,381.52862689565785,208.2680939812409
80755,Vernon,CO,-102.3193,39.9331,399.0591490318203,223.8004155489815
80757,Woodrow,CO,-103.5752,39.805,381.09413337382915,224.90568683883532
80758,Wray,CO,-102.393,40.0685,398.1872361590526,221.1845647806531
80759,Yuma,CO,-102.7072,40.1301,393.8297701118272,219.7201937347562
80801,Anton,CO,-103.1373,39.6909,387.13881563466265,227.5315801251478
80802,Arapahoe,CO,-102.194,38.8417,399.4932986684638,244.4488261828575
80804,Arriba,CO,-103.271,39.3025,384.68114409850193,234.68787811294192
80805,Bethune,CO,-102.4281,39.3448,396.76936933759663,234.7610123824519
80807,Burlington,CO,-102.2583,39.3106,399.1507126522605,235.5663856277505
80808,Calhan,CO,-104.3553,38.9648,368.65342189257785,239.75590103780723
80809,Cascade,CO,-104.9722,38.8967,359.69729444962513,240.22664813736128
80810,Cheyenne Wells,CO,-102.3582,38.8198,397.10539902667625,244.7047670412867
80812,Cope,CO,-102.9904,39.6848,389.21607522745035,227.80155177082224
80813,Cripple Creek,CO,-105.1499,38.8261,357.02295839776264,241.30822206266305
80814,Divide,CO,-105.1994,38.9576,356.55265749001546,238.7715369166989
80815,Flagler,CO,-103.0624,39.3127,387.672938726783,234.72105230040336
80816,Florissant,CO,-105.3121,38.8546,354.7494013811961,240.5467633935708
80817,Fountain,CO,-104.7005,38.6996,363.2517730527493,244.29077632543397
80818,Genoa,CO,-103.4607,39.3383,382.0267616711319,233.80478518547818
80819,Green Mountain Falls,CO,-105.0094,38.9389,359.23950912795397,239.38392817968816
80820,Guffey,CO,-105.5784,38.8146,350.8568312726206,240.9166353654523
80821,Hugo,CO,-103.499,39.0843,381.10303255753047,238.53566201007663
80822,Joes,CO,-102.6788,39.6564,393.6037889382554,228.65433515339555
80823,Karval,CO,-103.5006,38.7119,380.5265556070703,245.53389984471062
80824,Kirk,CO,-102.4776,39.6171,396.41243041459916,229.59162245168
80825,Kit Carson,CO,-102.8198,38.804,390.44825063602974,244.5411582910374
80826,Limon,CO,-103.6922,39.2639,378.61171970268384,234.93911146389325
80827,Lake George,CO,-105.4347,39.0342,353.32774363546605,237.00310494019436
80828,Limon,CO,-103.6856,39.2713,378.7172061914805,234.80769131394823
80829,Manitou Springs,CO,-104.9058,38.855,360.57532818430593,241.09925731585372
80830,Matheson,CO,-103.9132,39.132,375.2503741620694,237.15776496691285
80831,Peyton,CO,-104.5472,38.9541,365.8863990139821,239.7117613777815
80832,Ramah,CO,-104.1247,39.0736,372.13248784747077,237.99911525858363
80833,Rush,CO,-104.0241,38.7642,373.0799346184149,243.93486889743576
80834,Seibert,CO,-102.8822,39.3183,390.2527475860322,234.80478343964057
80835,Simla,CO,-104.0702,39.2087,373.1282895082647,235.5276738485254
