lat,lon
-77.4621,37.5532
-77.5613,37.3897
-77.4316,37.5406
-75.6803,37.7159
-75.5277,37.8658
-75.5089,37.9073
-76.5741,36.9965
-75.8694,37.5645
-75.9043,37.4321
-75.6156,37.8273
-75.9721,37.2799
-75.9524,37.2019
-76.543,36.955
-76.8365,36.7454
-75.9713,37.2896
-76.2384,36.7352
-76.423,36.8012
-76.242,36.6434
-76.3397,36.7634
-76.2666,36.8056
-76.2406,36.814
-76.2394,36.777
-76.2785,36.7085
-75.4363,37.9487
-75.4905,37.9186
-75.8646,37.5773
-75.878,37.5529
-75.9458,37.3526
-75.8526,37.5117
-75.9007,37.4588
-75.4029,38.0064
-75.6664,37.7681
-75.865,37.6393
-75.6041,37.8837
-75.8305,37.6618
-75.4716,37.9699
-75.5551,37.9237
-76.6877,36.8989
-75.8771,37.5343
-75.6168,37.9162
-75.7638,37.6193
-75.6735,37.6534
-75.9082,37.4014
-75.5666,37.846
-75.8473,37.4556
-75.6354,37.8692
-75.7454,37.6407
-75.6035,37.7904
-75.858,37.4728
-75.5832,37.8169
-75.5112,37.9525
-75.5386,37.9229
-75.7528,37.7102
-75.6992,37.6704
-75.9269,37.3074
-75.8066,37.5828
-75.6386,37.7744
-75.8135,37.6304
-75.7412,37.5423
-76.5645,36.9969
-75.6781,37.9229
-75.722,37.9264
-75.9536,37.2711
-76.6368,36.9811
-76.6877,36.8989
-76.5598,36.8668
-76.4929,36.909
-76.5931,36.7304
-76.4664,36.8544
-76.5142,36.8926
-76.792,36.6526
-76.6871,36.5913
-76.6653,36.7461
-75.993,37.8245
-75.7005,37.7104
-75.5528,37.8954
-75.969,37.1882
-76.1204,36.844
-76.0019,36.8585
-76.0961,36.8348
-76.0766,36.776
-76.0237,36.8282
-76.1446,36.8881
-76.0359,36.7341
-76.0249,36.6224
-76.1558,36.8474
-76.0171,36.9216
-76.0284,36.808
-75.9633,36.7754
-76.1522,36.8392
-76.0126,36.7957
-76.1759,36.7978
-76.1692,36.8512
-76.0126,36.7957
-75.6925,37.6044
-75.8769,37.5349
-75.5023,37.9437
-75.8066,37.5157
-76.7324,36.8369
-75.6019,37.9482
-76.2085,36.8959
-76.2143,36.8546
-76.252,36.9442
-76.2686,36.8586
-76.2875,36.9168
-76.2397,36.9312
-76.3004,36.8645
-76.3004,36.8859
-76.2604,36.8787
-76.2878,36.8529
-76.3034,36.9356
-76.2396,36.8914
-76.2397,36.9312
-76.2945,36.8695
-76.216,36.9202
-76.2397,36.9312
-76.2701,36.8294
-76.2397,36.9312
-76.4607,37.058
-76.5179,37.1132
-76.5821,37.1989
-76.5845,37.1574
-76.4332,37.0156
-76.4967,37.0768
-76.4165,36.9864
-76.542,37.1526
-76.5248,37.1959
-76.3899,37.0727
-76.3044,37.018
-76.3801,37.0074
-76.3807,37.1313
-76.3199,37.0318
-76.2966,37.0566
-76.36,37.0831
-76.4096,37.0462
-76.3318,37.0193
-76.3377,37.0206
-76.3426,37.0436
-76.3899,37.0727
-76.5423,37.2287
-76.552,37.2517
-76.4581,37.1686
-76.4469,37.1256
-76.559,37.2232
-76.429,37.1885
-76.3671,36.8089
-76.327,36.8035
-76.3869,36.8695
-76.3146,36.8298
-76.3552,36.8686
-76.344,36.8362
-76.3552,36.8686
-77.3341,37.2447
-77.4814,37.2123
-77.3928,37.2048
-77.3854,37.1819
-77.3928,37.2048
-77.9055,36.8806
-77.6475,37.0724
-77.9851,37.0916
-77.1975,36.5951
-77.2704,36.5787
-77.2394,36.7243
-77.4351,37.0393
-77.4156,37.3429
-77.5668,37.3923
-77.6646,37.195
-77.4038,37.27
-77.3386,37.3475
-77.0783,36.7225
-77.6343,37.3333
-76.8966,37.0981
-77.6426,37.0535
-77.5585,37.0833
-77.2732,37.1483
-77.7887,36.8318
-77.3591,36.6854
-77.9888,36.5722
-76.8337,37.0701
-77.563,36.6857
-77.7364,37.1349
-76.9391,36.6786
-77.7208,36.7893
-77.8836,36.5856
-77.295,37.2876
-76.8861,36.9071
-77.4832,36.8191
-77.8136,36.7342
-77.532,36.7215
-77.7396,36.9986
-77.9544,36.8088
-77.1069,36.6148
-77.2747,37.2333
-77.8237,36.953
-76.9841,36.776
-77.5921,36.5958
-76.9923,37.1901
-77.4443,36.9361
-76.7651,37.126
-77.2791,36.9151
-77.5655,37.1901
-77.8384,36.565
-76.979,36.9757
-77.7673,36.9011
-77.1055,37.025
-77.2124,37.0508
-77.9592,36.6335
-77.8352,37.1157
-77.287,36.8373
